Hydrant,Latitude,Longitude,Capacity_L_min,Available,Capacity_source,Public_hydrant_object_id,Model_type,Location_source
H0001,55.65516,12.596182,1200,True,simulated_from_model_type,1,"unset, 80 mm",6100_Brandhaner__Koebenhavn
H0002,55.656111,12.59654,1200,True,simulated_from_model_type,2,"unset, 80 mm",6100_Brandhaner__Koebenhavn
H0003,55.657671,12.597123,1200,True,simulated_from_model_type,3,"unset, 80 mm",6100_Brandhaner__Koebenhavn
H0004,55.626594,12.53293,1600,True,simulated_from_model_type,4,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0005,55.629802,12.537386,1600,True,simulated_from_model_type,5,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0006,55.633299,12.54278,1600,True,simulated_from_model_type,6,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0007,55.636492,12.548864,1600,True,simulated_from_model_type,7,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0008,55.661576,12.610503,1600,True,simulated_from_model_type,8,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0009,55.639991,12.587295,1600,True,simulated_from_model_type,9,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0010,55.647395,12.597787,1600,True,simulated_from_model_type,10,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0011,55.659667,12.608687,1600,True,simulated_from_model_type,11,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0012,55.660416,12.573523,1600,True,simulated_from_model_type,12,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0013,55.641568,12.592913,1600,True,simulated_from_model_type,13,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0014,55.658716,12.607356,2000,True,simulated_from_model_type,14,"KV 1916, 110 mm",6100_Brandhaner__Koebenhavn
H0015,55.660542,12.611342,1600,True,simulated_from_model_type,15,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0016,55.670973,12.627428,1600,True,simulated_from_model_type,16,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0017,55.658176,12.622512,800,True,simulated_from_model_type,17,"unset, unset",6100_Brandhaner__Koebenhavn
